,TA,LPI,AREA_MN,AREA_AM,AREA_MD,GYRATE_MN,GYRATE_AM,GYRATE_MD
Jaen.txt,742.615915,2.867485,0.057688,2.734006,0.013795,5.840019,36.917021,4.181158
Jerez.txt,2182.981449,4.669319,0.078415,9.203425,0.015923,5.986853,53.919284,4.123398
Palmas.txt,1576.635765,2.406659,0.041600,2.056654,0.013085,4.793442,28.428436,3.592223
Leganes.txt,1189.409657,12.402124,0.143251,21.368705,0.025194,7.908193,85.224575,5.015887
Leon.txt,940.397089,4.102869,0.093955,5.121285,0.022600,6.788706,64.186164,4.769320
Lleida.txt,1021.769176,2.504677,0.112307,3.573076,0.024872,7.461297,45.294329,5.065696
Logronio.txt,852.032302,2.157928,0.158311,2.262931,0.043755,9.731187,44.471100,6.557399
Lugo.txt,643.117386,2.530207,0.066575,1.534823,0.022438,7.144510,28.018985,5.367742
Madrid.txt,643.117386,2.530207,0.066575,1.534823,0.022438,7.144510,28.018985,5.367742
Malaga.txt,643.117386,2.530207,0.066575,1.534823,0.022438,7.144510,28.018985,5.367742
Marbella.txt,3168.727803,2.135795,0.178239,5.418642,0.063617,10.206540,49.245705,8.446928
Mataro.txt,594.463594,5.236858,0.051442,2.462405,0.015254,5.555791,29.735690,4.219238
Melilla.txt,401.005097,6.104528,0.041811,3.416999,0.009390,4.313018,40.891230,3.119782
Mostoles.txt,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.889740
Murcia.txt,882.374697,4.427847,0.109857,4.601716,0.029115,8.071251,45.552518,5.889740
Ourense.txt,1072.807433,1.343457,0.063420,1.306178,0.023652,6.570052,25.322967,5.014611
Oviedo.txt,981.507459,3.520464,0.115990,2.993032,0.032942,8.172770,37.143082,5.842881
Palencia.txt,624.655113,3.783919,0.103471,3.707235,0.021156,7.332732,55.588778,4.845938
Mallorca.txt,2946.774052,3.279668,0.083951,4.930098,0.028243,7.128906,37.141250,5.237095
Parla.txt,633.212934,19.994841,0.096822,27.703034,0.019997,6.856993,109.147215,5.466245
Pontevedra.txt,604.755716,6.609610,0.085454,3.423965,0.035801,7.742140,38.137105,6.265001
Sabadell.txt,1090.068472,2.090116,0.043296,1.570535,0.013927,5.171963,27.855174,4.082364
Salamanca.txt,885.137174,3.267961,0.094073,4.048108,0.020095,6.581246,46.490574,4.532603
San Cristobal.txt,1438.044950,0.814449,0.052825,1.018972,0.017127,6.116619,24.412439,4.596158
SantaColoma.txt,275.938786,9.182635,0.041476,2.952744,0.020184,5.446041,29.299202,4.798120
SantaCruz.txt,1017.423254,1.543634,0.048066,1.004617,0.013195,5.551545,24.463683,4.069826
Santander.txt,1216.584547,3.359808,0.123049,3.951181,0.032875,8.443763,45.332585,5.853981
Segovia.txt,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739
Sevilla.txt,550.996736,3.749205,0.102359,2.840016,0.024102,7.334539,41.711668,4.959739
Soria.txt,379.935971,4.003721,0.110511,2.281415,0.033063,8.137307,34.455219,5.682173
Terragona.txt,1313.091165,5.279116,0.138017,2.281415,0.040985,8.785371,55.511952,6.577365
Terrasa.txt,1253.751020,1.919933,0.049161,1.306412,0.015670,5.899534,23.790631,4.719074
Teruel.txt,519.992981,4.615850,0.087497,2.474775,0.020931,6.973207,34.569297,4.802547
Toledo.txt,1699.657512,13.068388,0.217654,34.804116,0.022233,8.699610,110.391413,4.812920
Torrejon.txt,2003.737494,66.928393,0.339099,898.453967,0.024424,8.297531,821.120921,5.573816
Valencia.txt,2164.215491,2.515410,0.065111,4.506163,0.024895,6.216411,38.408851,4.992987
Valladolid.txt,2764.692882,2.285334,0.170702,9.992102,0.028855,8.463257,74.230483,5.392190
Vigo.txt,2673.672921,4.253406,0.076896,7.653004,0.037150,7.448687,40.795189,6.359690
Zamora.txt,551.778808,9.977708,0.075195,6.638329,0.018018,6.080244,52.258509,4.223122
Zaragoza.txt,4188.643450,1.576180,0.148265,6.420273,0.028926,8.365215,65.532054,5.374877
